Nr.;Stadtteil;Einwohner insgesamt;0-2; 3-5; 6-14;15-17;18-20;21-34;35-59;60-64;65-74;75-79;80 und älter
101;Altstadt-Süd;27571;517;423;961;364;662;9222;9693;1236;2240;1062;1191
102;Neustadt-Süd;38262;1018;767;1654;507;1021;13821;13914;1487;2247;891;935
103;Altstadt-Nord;17896;338;226;526;177;449;6050;6545;731;1310;593;951
104;Neustadt-Nord;28206;768;573;1183;364;538;8210;11427;1306;2196;852;789
105;Deutz;15153;377;305;703;248;438;4408;5530;628;1222;615;679
201;Bayenthal;9077;274;233;676;210;224;1889;3552;428;878;340;373
202;Marienburg;6213;169;166;503;157;182;1112;2310;351;714;280;269
203;Raderberg;5743;170;155;414;138;154;1318;2192;282;446;205;269
204;Raderthal;4781;105;91;400;141;151;717;1813;274;538;280;271
205;Zollstock;22324;597;503;1303;424;686;5729;7701;1035;2113;1010;1223
206;Rondorf;9445;214;242;801;345;326;1277;3692;634;1007;478;429
207;Hahnwald;2095;36;72;232;86;61;206;815;151;251;90;95
208;Rodenkirchen;15990;406;398;995;376;405;2345;5665;909;2030;1043;1418
209;Weiß;5905;140;171;578;194;163;604;2304;360;728;356;307
210;Sürth;10651;292;328;1163;372;300;1442;4348;584;965;406;451
211;Godorf;2383;85;71;209;57;71;441;893;138;223;95;100
212;Immendorf;2010;44;68;174;76;63;315;760;133;204;74;99
213;Meschenich;7567;216;260;856;275;257;1360;2943;419;573;214;194
301;Klettenberg;10663;352;302;789;255;270;2043;4192;552;988;406;514
302;Sülz;36218;1099;816;1961;570;956;10733;13279;1583;2677;1189;1355
303;Lindenthal;30154;880;640;1513;476;919;8792;10134;1306;2635;1282;1577
304;Braunsfeld;11457;384;274;581;169;280;3128;3897;459;1070;557;658
305;Müngersdorf;8304;199;200;594;238;312;1807;2775;443;879;366;491
306;Junkersdorf;13408;413;416;1296;365;406;2364;5183;667;1273;518;507
307;Weiden;16574;389;385;1174;395;461;2977;5725;1068;2087;930;983
308;Lövenich;8747;244;272;809;225;216;1151;3409;550;1023;426;422
309;Widdersdorf;10980;539;611;1407;373;236;1360;4460;483;787;357;367
401;Ehrenfeld;36287;1038;791;1794;618;839;11915;13675;1317;2361;963;976
402;Neuehrenfeld;23931;764;681;1604;510;638;5636;9222;1065;1967;873;971
403;Bickendorf;16686;500;555;1469;517;547;3470;6160;807;1410;631;620
404;Vogelsang;8196;224;218;687;274;259;1192;3184;467;824;416;451
405;Bocklem./Mengenich;10470;328;327;1026;353;331;1685;3505;523;1029;679;684
406;Ossendorf;10077;334;320;1114;413;398;1858;3995;398;621;304;322
501;Nippes;35067;1214;988;2399;646;738;8527;14247;1587;2537;1055;1129
502;Mauenheim;5597;132;150;466;170;190;1058;2092;284;546;269;240
503;Riehl;11410;279;241;672;199;254;1907;3967;685;1393;788;1025
504;Niehl;19676;631;594;1577;547;575;3937;7179;1061;1932;821;822
505;Weidenpesch;13838;349;301;950;329;419;2940;5139;709;1437;635;630
506;Longerich;13493;338;326;1009;381;391;2235;4864;829;1489;707;924
507;Bilderstöckchen;15523;545;513;1518;500;583;3300;5457;619;1212;699;577
601;Merkenich;5731;132;127;493;194;201;980;2235;330;551;252;236
602;Fühlingen;2079;48;50;167;96;65;289;872;137;197;75;83
603;Seeberg;11238;347;379;1149;416;418;1988;3691;615;1172;562;501
604;Heimersdorf;5811;120;116;386;154;169;840;1951;334;682;415;644
605;Lindweiler;3494;92;133;321;141;113;500;1152;205;400;246;191
606;Pesch;7631;182;170;515;191;188;1075;2544;548;1246;551;421
607;Esch/Auweiler;6658;161;195;606;228;219;886;2588;387;729;365;294
608;Volkhoven/Weiler;6104;205;191;627;289;286;1180;2296;279;458;167;126
609;Chorweiler;13037;508;498;1515;502;468;2399;4111;736;1223;519;558
610;Blumenberg;5650;180;151;635;261;255;1204;2212;291;267;92;102
611;Roggendorf/Thenh.;3973;132;121;374;144;143;784;1462;263;299;124;127
612;Worringen;9607;286;312;804;325;286;1615;3577;576;867;436;523
701;Poll;11434;348;301;907;309;377;2035;4218;659;1130;562;588
702;Westhoven;5183;122;129;358;120;113;789;2059;361;656;261;215
703;Ensen;7331;181;178;538;211;207;1302;2748;448;793;333;392
704;Gremberghoven;2987;114;124;338;99;114;563;1030;126;248;111;120
705;Eil;9009;236;248;781;249;270;1538;3294;529;1004;431;429
706;Porz;14758;440;423;1269;416;465;2753;5358;801;1336;646;851
707;Urbach;12294;339;358;981;364;343;2120;4352;701;1362;703;671
708;Elsdorf;1633;39;47;182;55;41;188;606;82;157;87;149
709;Grengel;5368;137;147;414;162;178;898;2006;363;540;259;264
710;Wahnheide;7791;194;180;562;209;252;1499;2945;489;818;339;304
711;Wahn;6592;203;212;603;274;250;1064;2519;370;588;260;249
712;Lind;3428;71;77;227;105;116;611;1262;264;415;167;113
713;Libur;1103;33;33;123;42;34;163;476;46;85;36;32
714;Zündorf;11915;285;261;987;364;370;1623;4388;893;1578;635;531
715;Langel;3371;102;104;273;101;110;497;1311;260;364;134;115
716;Finkenberg;6705;233;265;787;284;290;1117;1958;368;671;388;344
801;Humboldt/Gremb.;15219;514;444;1110;397;468;4047;5140;669;1255;626;549
802;Kalk;23408;767;673;1893;609;831;6813;7922;955;1576;628;741
803;Vingst;13019;504;526;1422;475;477;2630;4260;656;991;470;608
804;Höhenberg;12214;383;327;923;364;373;3078;4122;645;1088;472;439
805;Ostheim;12006;458;494;1286;404;437;2449;4006;587;1016;432;437
806;Merheim;10881;405;412;1134;354;332;2061;3956;496;917;423;391
807;Brück;10026;257;253;885;294;268;1413;3685;624;1108;547;692
808;Rath/Heumar;11448;314;291;877;315;309;1806;4232;703;1334;608;659
809;Neubrück;8741;267;273;912;325;266;1410;2703;459;807;552;767
901;Mülheim;42088;1442;1206;3318;1025;1292;10735;15025;1910;3189;1409;1537
902;Buchforst;7155;205;206;588;183;218;1639;2493;368;633;304;318
903;Buchheim;12852;424;391;1146;373;420;2901;4465;668;1012;544;508
904;Holweide;21006;648;594;1833;639;694;4171;7870;1163;1705;811;878
905;Dellbrück;21393;575;539;1757;607;555;3314;8216;1238;2264;1100;1228
906;Höhenhaus;15050;386;421;1353;477;507;2368;5333;981;1469;742;1013
907;Dünnwald;11529;380;357;1178;420;384;1826;4205;615;1019;524;621
908;Stammheim;7653;231;195;593;217;232;1307;2617;405;885;538;433
909;Flittard;7897;211;209;622;258;242;1298;2793;455;828;388;593
